Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title,Deck
0.0,3,0,-0.5628454378856085,0.729948296384635,0.0,-0.8655085685497345,0.33900928792569657,0.15667311411992263,0.29985443959243085
1.0,1,1,0.6576367662973881,0.729948296384635,0.0,1.3306218029838375,0.5535713651541053,0.7919887609878125,0.5890661369777818
1.0,3,1,-0.25772488683985934,0.0,0.0,-0.7976356879326059,0.33900928792569657,0.6978021688748278,0.29985443959243085
1.0,1,1,0.4287963530130762,0.729948296384635,0.0,0.9950650554583065,0.33900928792569657,0.7919887609878125,0.5890661369777818
0.0,3,0,0.4287963530130762,0.0,0.0,-0.7855496029183592,0.33900928792569657,0.15667311411992263,0.29985443959243085
0.0,3,0,-0.3340050246012966,0.0,0.0,-0.7470384340364443,0.38959114108336274,0.15667311411992263,0.29985443959243085
0.0,1,0,1.8781189704803845,0.0,0.0,0.9688830306418363,0.33900928792569657,0.15667311411992263,0.6652426606246403
0.0,3,0,-2.088448193114354,1.5387546210477052,0.729948296384635,0.04360537405503745,0.33900928792569657,0.5522129767750649,0.29985443959243085
1.0,3,1,-0.18144474907842204,0.0,1.1929705253545866,-0.5248990771603942,0.33900928792569657,0.7919887609878125,0.29985443959243085
1.0,2,1,-1.1730865399771067,0.729948296384635,0.0,0.3916223511979868,0.5535713651541053,0.7919887609878125,0.29985443959243085
1.0,3,1,-1.9358879175914794,0.729948296384635,0.729948296384635,-0.17209308198489495,0.33900928792569657,0.6978021688748278,0.40335139970666534
1.0,1,1,2.1832395215261338,0.0,0.0,0.2671646139729403,0.33900928792569657,0.6978021688748278,0.5890661369777818
0.0,3,0,-0.715405713408483,0.0,0.0,-0.7855496029183592,0.33900928792569657,0.15667311411992263,0.29985443959243085
0.0,3,0,0.7339169040588254,0.729948296384635,2.0517982285269314,0.4314352982432184,0.33900928792569657,0.15667311411992263,0.29985443959243085
0.0,3,1,-1.1730865399771067,0.0,0.0,-0.8045453669282425,0.33900928792569657,0.6978021688748278,0.29985443959243085
1.0,2,1,1.9543991082418217,0.0,0.0,-0.21074150911068829,0.33900928792569657,0.7919887609878125,0.29985443959243085
0.0,3,0,-2.088448193114354,1.8172899552297017,0.729948296384635,0.3594199848073129,0.38959114108336274,0.5522129767750649,0.29985443959243085
1.0,2,0,0.04739566420588981,0.0,0.0,-0.3935106787834838,0.33900928792569657,0.15667311411992263,0.29985443959243085
0.0,3,1,0.1236758019673271,0.729948296384635,0.0,-0.10364847116656761,0.33900928792569657,0.7919887609878125,0.29985443959243085
